,1,2,3,4,5,6,7,8,9,10,11,12,total do ano
RTSTRUCT,0,1,0,0,0,0,0,0,0,0,0,0,1
US,951,978,1051,1357,1278,825,1404,1367,1467,1169,1068,871,13786
CR,0,0,0,0,0,0,294,1046,1600,2871,2292,1245,9348
MR,1597,1630,861,19,9,1560,6795,1871,1607,1758,920,802,19429
CT,1871,3390,2774,1834,1286,967,2794,3303,2324,2578,3045,1608,27774
XA,1282,1270,1407,396,1159,1227,2104,2215,2222,1951,1742,1736,18711
SC,0,1,0,0,6,0,0,0,0,0,0,0,7
PR,1,0,0,0,0,0,3,0,0,0,0,0,4
OT,0,0,0,0,0,0,0,0,0,0,0,0,0
PDF,0,0,0,0,2,0,0,0,0,0,0,0,2
PT,0,27,0,0,0,0,0,0,0,0,0,0,27
XC,0,0,0,0,0,0,1462,2926,2000,268,1827,41,8524
SR,141,166,220,234,192,174,390,272,296,293,186,159,2723
KO,0,4,0,0,2,0,36,0,0,0,0,0,42
ECG,0,0,0,0,2,0,0,0,0,0,0,0,2
DX,1123,1095,1217,0,0,6105,1526,0,0,0,11,0,11077
total do mes,6966,8562,7530,3840,3936,10858,16808,13000,11516,10888,11091,6462,111457
