LOCAL,DATA,MAGNITUDE,LATITUDE,LONGITUDE,PROFUNDIDADE
 Oklahoma,2016-10-21,3.5,36.4,-98.8,5.0
 Oklahoma,2016-10-21,4.0,36.4,-98.8,2.1
 Guatemala,2016-10-21,4.6,14.4,-91.4,98.0
 Japan,2016-10-21,6.6,35.4,133.8,6.4
 Alaska,2016-10-21,3.5,67.8,-146.1,10.0
 Alaska,2016-10-20,3.6,59.8,-152.7,87.0
 Mexico,2016-10-20,4.6,17.6,-94.6,139.0
 Guatemala,2016-10-20,4.6,14.7,-91.6,105.0
 New Mexico,2016-10-20,3.6,35.2,-107.4,5.0
 Kansas,2016-10-20,3.6,36.9,-97.6,3.9
 Alaska,2016-10-20,4.0,54.3,-161.7,29.0
 Oklahoma,2016-10-19,3.5,36.8,-97.8,1.2
 Alaska,2016-10-19,3.7,57.0,-155.2,65.0
 Indonesia,2016-10-19,6.2,-4.9,108.2,623.0
 Dominican Republic,2016-10-18,3.5,18.0,-68.5,87.0
 Dominica,2016-10-18,5.8,15.2,-61.5,148.0
 South of the Fiji Islands,2016-10-18,5.9,-23.3,-179.9,548.0
 Alaska,2016-10-18,3.5,61.0,-147.5,16.0
 Alaska,2016-10-17,3.7,59.9,-153.0,94.0
 China,2016-10-17,6.4,32.9,94.9,32.0
 Papua New Guinea,2016-10-17,6.9,-6.1,148.9,35.0
 Greece,2016-10-15,5.5,39.8,20.7,21.0
 Papua New Guinea,2016-10-15,6.0,-4.3,150.4,451.0
 Alaska,2016-10-14,4.0,59.8,-151.8,69.0
 Canada,2016-10-13,4.1,62.8,-124.9,10.0
 Mexico,2016-10-13,5.1,25.5,-109.8,20.0
 Oklahoma,2016-10-13,3.6,36.8,-98.3,8.9
 Papua New Guinea,2016-10-12,5.7,-5.4,153.5,22.0
 Alaska,2016-10-12,3.9,65.7,-145.2,15.0
 Oklahoma,2016-10-10,3.5,36.4,-96.9,5.0
 Alaska,2016-10-10,3.8,60.2,-153.8,184.0
 Alaska,2016-10-10,3.7,59.1,-152.3,52.0
 Indonesia,2016-10-09,5.7,1.8,127.5,137.0
 Oklahoma,2016-10-09,3.8,36.4,-96.9,5.1
 Alaska,2016-10-09,3.5,65.8,-144.8,15.0
 Canada,2016-10-09,4.1,64.7,-132.8,11.0
 CA,2016-10-08,3.74,34.0,-117.3,14.0
 Alaska,2016-10-08,3.6,62.3,-151.3,2.4
